User,Krzysztof Kubicz,,Metabolic Load (ML),72.0
Date,2026-08-01,,Biomechanics Load (BL),843.0
Start Time,11:29:45,,ML/Duration,1.74
Duration,00:54:25,,BL/Duration],20.4
Activity Type,Normal Activity,,ML/BL,0.0854
Sport,Running,,Avg BR,39.0
,,,Avg VT,281.6
Total Distance [km],9.1,,Avg VE,105.5
Elevation [m],,,Avg HR,134.0
Climb [m],,,Avg Power,1220.0
Descent [m],,,Avg Cad,177.0

Time,BR,VT,VE,HR,Power,Cad,Speed,Elevation,Cumulative Distance,External Heart Rate,External Bike Power,External Cadence,External Speed,Protocol Grade,VT calibrated,VT calibrated inst,VE calibrated,VE calibrated inst,Equivalent 0% Grade Speed,Ground Contact Time,Air Time,VE 15 sec sum,,Breath by breath time,BR breath by breath,BR breath by breath outlier rejected average,VT breath by breath,VT breath by breath smoothed,VE breath by breath,VE breath by breath smoothed,Inhale:Exhale Ratio breath by breath,Inhale:Exhale Ratio breath by breath smoothed
49.0,33.95,249.8,77.61,111.0,1143.0,163.2,8.24,,160.0,,,,,,,,,,,,,,,107.49600000000001,34.9,31.7,227.0,258.7,79.0,78.1,,
50.0,34.04,250.6,78.13,110.0,1142.0,163.5,8.22,,163.7,,,,,,,,,,,,,,,109.2,34.1,31.5,353.0,260.6,120.0,78.9,,
51.0,34.13,251.4,78.65,110.0,1140.0,163.2,8.24,,167.4,,,,,,,,,,,,,,,111.876,25.0,31.5,360.0,262.5,90.0,79.1,,
52.0,34.24,252.4,79.19,112.0,1140.0,163.5,8.16,,171.0,,,,,,,,,,,,,,,113.556,30.0,33.0,247.0,262.2,74.0,79.0,,
53.0,34.67,254.7,80.11,112.0,1144.0,164.1,8.1,,174.6,,,,,,,,,,,,,,,115.19999999999999,37.5,33.0,228.0,261.6,86.0,79.1,,
54.0,35.01,251.1,79.53,112.0,1152.0,164.1,8.06,,178.2,,,,,,,,,,,,,,,117.6,29.4,31.2,207.0,260.6,61.0,78.8,,
55.0,35.33,246.5,78.68,112.0,1154.0,163.2,8.0,,181.8,,,,,,,,,,,,,,,119.52,26.8,28.7,234.0,260.1,63.0,78.5,,
56.0,35.6,241.9,77.69,112.0,1157.0,162.6,7.93,,185.3,,,,,,,,,,,,,,,121.05599999999998,38.5,32.3,420.0,262.9,162.0,80.0,,
57.0,35.87,239.3,77.32,112.0,1159.0,163.5,7.89,,188.9,,,,,,,,,,,,,,,123.51600000000002,26.8,31.2,418.0,265.6,112.0,80.5,,
58.0,36.12,241.0,78.42,113.0,1158.0,163.2,7.87,,192.4,,,,,,,,,,,,,,,125.19599999999998,30.6,28.9,254.0,265.4,78.0,80.5,,
59.0,36.28,243.1,79.51,114.0,1163.0,163.5,7.89,,195.9,,,,,,,,,,,,,,,126.99,34.1,30.5,218.0,264.6,74.0,80.4,,
60.0,36.31,245.8,80.6,113.0,1164.0,164.1,7.91,,199.4,,,,,,,,,,,,,,,128.616,36.6,33.8,226.0,264.0,83.0,80.4,,
61.0,36.35,248.5,81.69,113.0,1167.0,164.1,7.91,,203.0,,,,,,,,,,,,,,,130.176,41.7,33.8,226.0,263.4,94.0,80.6,,
62.0,36.32,251.5,82.7,113.0,1170.0,164.1,7.93,,206.5,,,,,,,,,,,,,,,131.04000000000002,60.0,37.4,226.0,262.8,136.0,81.5,,
63.0,36.11,255.5,83.46,114.0,1166.0,165.0,8.0,,210.1,,,,,,,,,,,,,,,131.976,55.6,44.6,334.0,263.9,186.0,83.2,,
64.0,35.8,256.4,83.49,114.0,1162.0,165.6,8.0,,213.7,,,,,,,,,,,,,,,134.256,31.3,44.6,323.0,264.8,101.0,83.4,,
65.0,35.43,256.5,83.52,114.0,1160.0,164.7,8.08,,217.3,,,,,,,,,,,,,,,136.07999999999998,30.6,42.8,263.0,264.8,81.0,83.4,,
66.0,35.01,257.3,84.07,114.0,1163.0,165.0,8.08,,220.9,,,,,,,,,,,,,,,137.856,34.1,40.3,245.0,264.5,84.0,83.4,,
67.0,34.58,258.3,84.54,114.0,1161.0,165.6,8.08,,224.5,,,,,,,,,,,,,,,139.476,35.7,33.7,367.0,266.0,131.0,84.1,,
68.0,34.17,260.4,85.31,114.0,1160.0,166.4,8.08,,228.1,,,,,,,,,,,,,,,142.07999999999998,25.9,32.0,380.0,267.6,98.0,84.3,,
69.0,33.82,264.6,86.7,114.0,1158.0,167.0,8.08,,231.7,,,,,,,,,,,,,,,143.796,29.4,31.4,156.0,266.0,46.0,83.8,,
70.0,33.51,268.8,87.63,115.0,1160.0,167.9,8.06,,235.3,,,,,,,,,,,,,,,145.20600000000002,41.7,33.1,154.0,264.5,64.0,83.5,,
71.0,33.28,273.2,87.95,116.0,1164.0,169.4,8.08,,239.0,,,,,,,,,,,,,,,146.676,41.7,35.6,302.0,265.0,126.0,84.1,,
72.0,33.21,274.4,88.01,116.0,1164.0,170.0,8.1,,242.6,,,,,,,,,,,,,,,148.65599999999998,33.3,34.8,302.0,265.5,101.0,84.3,,
73.0,33.17,275.0,88.02,115.0,1164.0,170.9,8.06,,246.2,,,,,,,,,,,,,,,150.20999999999998,35.7,36.9,309.0,266.1,110.0,84.6,,
74.0,33.13,275.5,88.03,116.0,1165.0,171.5,8.04,,249.8,,,,,,,,,,,,,,,153.396,20.5,36.9,440.0,268.4,90.0,84.7,,
75.0,33.12,276.5,88.27,116.0,1168.0,171.5,8.02,,253.4,,,,,,,,,,,,,,,155.046,30.6,33.2,235.0,267.9,72.0,84.6,,
76.0,33.19,278.7,89.15,116.0,1172.0,172.4,8.02,,256.9,,,,,,,,,,,,,,,156.78,36.6,33.2,239.0,267.6,87.0,84.6,,
77.0,33.26,279.0,89.04,116.0,1176.0,173.0,8.02,,260.5,,,,,,,,,,,,,,,158.496,34.9,33.7,353.0,268.7,123.0,85.1,,
78.0,33.33,277.5,88.05,117.0,1177.0,173.9,8.02,,264.1,,,,,,,,,,,,,,,161.256,24.6,30.0,387.0,270.2,95.0,85.2,,
79.0,33.36,276.2,87.16,117.0,1174.0,175.4,8.06,,267.7,,,,,,,,,,,,,,,162.81,29.4,31.6,215.0,269.5,63.0,84.9,,
80.0,33.39,274.9,86.3,117.0,1179.0,175.9,8.08,,271.3,,,,,,,,,,,,,,,164.436,39.5,33.6,243.0,269.1,96.0,85.1,,
81.0,33.33,276.2,86.41,117.0,1177.0,175.9,8.08,,274.9,,,,,,,,,,,,,,,166.116,36.6,33.6,327.0,269.9,120.0,85.5,,
82.0,33.24,278.1,86.76,117.0,1174.0,175.9,8.12,,278.6,,,,,,,,,,,,,,,168.336,29.4,31.8,327.0,270.5,96.0,85.6,,
83.0,33.13,279.8,87.02,117.0,1175.0,176.8,8.2,,282.2,,,,,,,,,,,,,,,170.046,31.9,32.6,279.0,270.6,89.0,85.7,,
84.0,32.9,280.6,86.93,117.0,1170.0,176.6,8.24,,285.9,,,,,,,,,,,,,,,173.166,22.1,32.6,411.0,272.3,91.0,85.7,,
85.0,32.63,280.9,86.87,117.0,1167.0,175.9,8.24,,289.6,,,,,,,,,,,,,,,174.936,26.8,29.4,166.0,271.1,45.0,85.2,,
86.0,32.3,280.4,86.9,117.0,1165.0,175.9,8.24,,293.3,,,,,,,,,,,,,,,176.406,40.5,29.4,258.0,270.9,105.0,85.5,,
87.0,31.96,278.1,86.11,117.0,1167.0,176.8,8.22,,297.0,,,,,,,,,,,,,,,178.056,37.5,32.1,295.0,271.2,111.0,85.8,,
88.0,31.66,275.0,85.25,117.0,1167.0,177.4,8.22,,300.6,,,,,,,,,,,,,,,180.246,31.3,31.8,295.0,271.4,92.0,85.8,,
89.0,31.46,270.8,84.65,117.0,1167.0,176.6,8.24,,304.3,,,,,,,,,,,,,,,182.106,28.8,32.5,262.0,271.3,76.0,85.7,,
90.0,31.36,270.1,84.97,117.0,1169.0,176.8,8.18,,308.0,,,,,,,,,,,,,,,183.666,36.6,35.1,215.0,270.7,79.0,85.6,,
91.0,31.36,273.1,86.31,117.0,1174.0,177.4,8.1,,311.6,,,,,,,,,,,,,,,185.136,40.5,35.1,376.0,271.9,153.0,86.4,,
92.0,31.35,276.1,87.65,117.0,1183.0,178.3,8.08,,315.2,,,,,,,,,,,,,,,187.89600000000002,24.2,32.2,386.0,273.1,93.0,86.5,,
93.0,31.36,279.9,88.33,117.0,1184.0,178.9,8.06,,318.8,,,,,,,,,,,,,,,189.516,31.9,32.4,189.0,272.2,60.0,86.2,,
94.0,31.36,283.9,88.89,117.0,1185.0,178.9,8.06,,322.4,,,,,,,,,,,,,,,190.80599999999998,44.1,36.3,181.0,271.2,80.0,86.1,,
95.0,31.39,285.1,88.72,117.0,1181.0,178.9,8.08,,326.0,,,,,,,,,,,,,,,192.21599999999998,44.1,38.9,278.0,271.3,122.0,86.5,,
96.0,31.44,285.6,88.43,117.0,1179.0,178.0,8.06,,329.6,,,,,,,,,,,,,,,193.986,36.6,37.5,281.0,271.4,103.0,86.6,,
97.0,31.59,285.5,88.16,118.0,1185.0,176.5,8.08,,333.2,,,,,,,,,,,,,,,196.806,22.4,37.5,358.0,272.3,80.0,86.6,,
98.0,31.75,285.9,88.16,118.0,1193.0,175.9,8.1,,336.8,,,,,,,,,,,,,,,198.696,29.4,36.7,302.0,272.6,89.0,86.6,,
99.0,31.93,287.5,88.83,118.0,1198.0,176.8,8.2,,340.5,,,,,,,,,,,,,,,201.45600000000002,23.4,29.8,430.0,274.2,101.0,86.8,,
100.0,32.0,287.4,88.96,118.0,1194.0,176.5,8.2,,344.2,,,,,,,,,,,,,,,203.166,28.8,27.2,230.0,273.7,66.0,86.5,,
101.0,32.03,286.6,88.84,118.0,1192.0,175.9,8.2,,347.8,,,,,,,,,,,,,,,204.696,40.5,27.2,231.0,273.3,94.0,86.6,,
102.0,32.05,285.9,88.73,119.0,1188.0,175.9,8.14,,351.5,,,,,,,,,,,,,,,206.226,39.5,32.6,169.0,272.3,67.0,86.4,,
103.0,32.03,282.9,89.35,119.0,1186.0,175.9,8.08,,355.1,,,,,,,,,,,,,,,207.89999999999998,37.5,35.3,304.0,272.6,114.0,86.7,,
104.0,31.98,279.2,90.25,119.0,1187.0,175.9,8.06,,358.7,,,,,,,,,,,,,,,210.48600000000002,24.2,35.3,410.0,273.9,99.0,86.8,,
105.0,31.78,281.0,92.84,119.0,1188.0,176.8,8.16,,362.4,,,,,,,,,,,,,,,212.376,30.6,35.9,225.0,273.5,69.0,86.6,,
106.0,31.62,283.1,94.76,119.0,1193.0,177.4,8.18,,366.0,,,,,,,,,,,,,,,214.20600000000002,33.3,33.8,260.0,273.3,87.0,86.6,,
107.0,31.57,284.1,94.83,119.0,1192.0,176.5,8.24,,369.7,,,,,,,,,,,,,,,217.206,22.1,29.4,410.0,274.6,91.0,86.7,,
108.0,31.51,284.2,94.77,120.0,1193.0,175.9,8.24,,373.4,,,,,,,,,,,,,,,218.826,30.0,28.3,297.0,274.8,89.0,86.7,,
109.0,31.45,283.7,94.57,120.0,1196.0,176.9,8.24,,377.1,,,,,,,,,,,,,,,220.746,32.6,31.1,230.0,274.4,75.0,86.6,,
110.0,31.38,282.0,94.4,120.0,1199.0,177.4,8.22,,380.7,,,,,,,,,,,,,,,222.576,32.6,31.7,274.0,274.4,89.0,86.6,,
111.0,31.32,280.2,94.24,120.0,1203.0,178.3,8.18,,384.4,,,,,,,,,,,,,,,224.94,26.8,29.8,331.0,274.9,89.0,86.6,,
112.0,31.26,279.0,94.29,120.0,1203.0,178.0,8.2,,388.1,,,,,,,,,,,,,,,226.656,31.9,31.5,172.0,274.0,55.0,86.4,,
113.0,31.23,282.6,95.82,120.0,1202.0,176.6,8.2,,391.7,,,,,,,,,,,,,,,228.246,38.5,32.4,265.0,273.9,102.0,86.5,,
114.0,31.26,286.5,97.01,120.0,1203.0,176.8,8.24,,395.4,,,,,,,,,,,,,,,229.836,36.6,33.7,353.0,274.6,129.0,86.9,,
115.0,31.37,290.9,97.78,120.0,1205.0,176.5,8.24,,399.1,,,,,,,,,,,,,,,232.716,23.8,31.8,407.0,275.7,97.0,87.0,,
116.0,31.45,291.0,97.44,120.0,1203.0,175.9,8.24,,402.8,,,,,,,,,,,,,,,234.336,30.0,32.8,197.0,275.1,59.0,86.7,,
117.0,31.52,290.0,96.81,120.0,1199.0,175.1,8.24,,406.5,,,,,,,,,,,,,,,235.86599999999999,39.5,35.0,316.0,275.4,125.0,87.0,,
118.0,31.66,287.7,95.92,120.0,1204.0,174.5,8.22,,410.2,,,,,,,,,,,,,,,237.816,32.6,33.1,347.0,276.0,113.0,87.3,,
119.0,31.88,283.5,94.64,120.0,1207.0,173.6,8.26,,413.8,,,,,,,,,,,,,,,239.976,27.8,30.1,319.0,276.4,89.0,87.3,,
120.0,32.27,280.4,94.22,120.0,1208.0,173.0,8.29,,417.6,,,,,,,,,,,,,,,242.61599999999999,23.8,30.1,329.0,276.8,78.0,87.2,,
121.0,32.84,278.5,94.74,120.0,1206.0,173.9,8.31,,421.3,,,,,,,,,,,,,,,244.596,29.4,29.9,207.0,276.2,61.0,87.0,,
122.0,33.2,279.8,95.42,120.0,1198.0,174.5,8.2,,424.9,,,,,,,,,,,,,,,246.33599999999998,31.9,29.7,222.0,275.8,71.0,86.9,,
123.0,33.55,281.2,96.11,119.0,1193.0,174.5,8.16,,428.6,,,,,,,,,,,,,,,247.986,36.6,29.7,271.0,275.8,99.0,87.0,,
124.0,33.95,282.4,96.67,118.0,1193.0,173.6,8.18,,432.2,,,,,,,,,,,,,,,250.86599999999999,23.4,28.4,381.0,276.6,89.0,87.0,,
125.0,34.4,283.2,97.09,119.0,1196.0,173.9,8.18,,435.9,,,,,,,,,,,,,,,252.606,28.8,30.1,177.0,275.8,51.0,86.7,,
126.0,34.75,286.6,97.38,119.0,1194.0,174.5,8.18,,439.6,,,,,,,,,,,,,,,253.77599999999998,48.4,32.4,129.0,274.6,62.0,86.5,,
127.0,35.07,290.5,97.62,119.0,1201.0,174.5,8.14,,443.2,,,,,,,,,,,,,,,254.736,60.0,37.9,268.0,274.6,161.0,87.1,,
128.0,35.1,287.1,96.25,119.0,1209.0,174.5,8.14,,446.8,,,,,,,,,,,,,,,256.476,38.5,38.6,289.0,274.7,111.0,87.3,,
129.0,35.1,283.6,95.27,119.0,1212.0,173.6,8.14,,450.5,,,,,,,,,,,,,,,259.236,23.8,38.6,380.0,275.5,90.0,87.3,,
130.0,35.06,279.7,94.93,119.0,1211.0,173.0,8.14,,454.1,,,,,,,,,,,,,,,260.856,30.6,39.2,196.0,274.9,60.0,87.1,,
131.0,35.07,283.5,97.05,120.0,1204.0,173.0,8.12,,457.7,,,,,,,,,,,,,,,262.176,42.9,37.3,230.0,274.6,99.0,87.2,,
132.0,35.36,287.8,96.89,120.0,1206.0,173.9,8.12,,461.4,,,,,,,,,,,,,,,263.706,41.7,36.9,228.0,274.2,95.0,87.2,,
133.0,35.46,287.6,96.66,120.0,1208.0,174.5,8.14,,465.0,,,,,,,,,,,,,,,265.326,38.5,36.9,337.0,274.7,130.0,87.5,,
134.0,35.56,287.4,96.43,120.0,1203.0,173.6,8.18,,468.7,,,,,,,,,,,,,,,267.966,25.0,36.9,382.0,275.5,96.0,87.6,,
135.0,35.68,285.9,96.04,120.0,1205.0,172.1,8.2,,472.3,,,,,,,,,,,,,,,269.496,32.6,37.6,206.0,275.0,67.0,87.4,,
136.0,35.81,283.9,95.6,120.0,1208.0,170.6,8.2,,476.0,,,,,,,,,,,,,,,270.936,40.5,37.2,173.0,274.2,70.0,87.3,,
137.0,36.1,283.1,96.08,120.0,1204.0,170.9,8.2,,479.7,,,,,,,,,,,,,,,272.406,41.7,37.2,171.0,273.5,71.0,87.2,,
138.0,36.39,282.8,96.63,120.0,1199.0,172.4,8.14,,483.3,,,,,,,,,,,,,,,273.87600000000003,42.9,38.3,309.0,273.7,132.0,87.5,,
139.0,36.66,284.5,97.09,121.0,1198.0,173.0,8.18,,487.0,,,,,,,,,,,,,,,276.786,23.1,38.3,431.0,274.9,99.0,87.6,,
140.0,36.77,285.6,97.32,121.0,1201.0,173.9,8.18,,490.6,,,,,,,,,,,,,,,278.556,28.8,37.0,227.0,274.5,65.0,87.4,,
141.0,36.76,286.3,97.36,120.0,1201.0,173.6,8.16,,494.3,,,,,,,,,,,,,,,280.326,34.9,35.1,238.0,274.3,83.0,87.4,,
142.0,36.74,286.9,97.4,120.0,1201.0,173.9,8.14,,497.9,,,,,,,,,,,,,,,282.06600000000003,34.1,32.6,233.0,274.0,79.0,87.4,,
143.0,36.72,290.6,97.94,119.0,1198.0,173.6,8.18,,501.6,,,,,,,,,,,,,,,283.536,38.5,32.6,178.0,273.3,69.0,87.2,,
144.0,36.66,293.4,98.31,119.0,1198.0,173.9,8.2,,505.2,,,,,,,,,,,,,,,285.006,41.7,35.8,339.0,273.8,141.0,87.6,,
145.0,36.49,291.8,97.89,120.0,1201.0,174.5,8.16,,508.9,,,,,,,,,,,,,,,287.586,26.3,35.8,365.0,274.4,96.0,87.7,,
146.0,35.93,288.6,96.77,120.0,1206.0,174.5,8.2,,512.5,,,,,,,,,,,,,,,289.266,30.6,34.4,162.0,273.6,49.0,87.4,,
147.0,35.34,285.4,95.89,120.0,1208.0,175.4,8.18,,516.2,,,,,,,,,,,,,,,290.646,41.7,36.9,307.0,273.8,128.0,87.7,,
148.0,34.9,283.4,95.88,120.0,1207.0,175.0,8.16,,519.8,,,,,,,,,,,,,,,292.74600000000004,31.3,34.5,307.0,274.1,96.0,87.7,,
149.0,34.48,282.3,95.97,121.0,1204.0,174.5,8.2,,523.5,,,,,,,,,,,,,,,294.276,36.6,32.8,191.0,273.5,70.0,87.6,,
150.0,34.08,283.2,96.27,123.0,1203.0,174.5,8.22,,527.2,,,,,,,,,,,,,,,295.866,38.5,35.4,297.0,273.7,114.0,87.8,,
151.0,33.89,283.7,96.35,122.0,1204.0,173.6,8.22,,530.9,,,,,,,,,,,,,,,298.866,22.7,35.4,385.0,274.4,87.0,87.8,,
152.0,33.75,284.2,96.37,122.0,1197.0,173.0,8.18,,534.5,,,,,,,,,,,,,,,300.726,26.3,31.4,199.0,273.9,52.0,87.5,,
153.0,33.61,284.7,96.39,122.0,1193.0,172.1,8.12,,538.2,,,,,,,,,,,,,,,302.166,41.7,33.8,144.0,274.7,60.0,87.9,,
154.0,33.51,284.7,96.35,122.0,1192.0,172.4,8.1,,541.8,,,,,,,,,,,,,,,303.12600000000003,51.7,35.5,181.0,274.1,93.0,87.9,,
155.0,33.43,284.5,96.27,122.0,1191.0,173.0,8.1,,545.4,,,,,,,,,,,,,,,304.476,50.0,39.3,194.0,273.6,97.0,88.0,,
